
Epoch: 0 	Training Loss: 7.335321 	Validation Loss: 4.921746
Epoch: 0 	Training Loss: 6.231732 	Validation Loss: 4.610548
Epoch: 1 	Training Loss: 4.320626 	Validation Loss: 4.563076
Epoch: 2 	Training Loss: 3.955329 	Validation Loss: 4.564414
Epoch: 3 	Training Loss: 3.828629 	Validation Loss: 4.539859
Epoch: 4 	Training Loss: 3.681762 	Validation Loss: 4.795535
Epoch: 5 	Training Loss: 3.627588 	Validation Loss: 5.324163
Epoch: 6 	Training Loss: 3.259743 	Validation Loss: 4.737232
Epoch: 7 	Training Loss: 3.215860 	Validation Loss: 4.523283
Epoch: 8 	Training Loss: 3.202012 	Validation Loss: 4.752231
Epoch: 9 	Training Loss: 3.194349 	Validation Loss: 4.726195
Epoch: 0 	Training Loss: 10.699516 	Validation Loss: 4.371088
Epoch: 1 	Training Loss: 6.156374 	Validation Loss: 4.220945
Epoch: 2 	Training Loss: 5.086464 	Validation Loss: 3.349986
Epoch: 3 	Training Loss: 4.393650 	Validation Loss: 4.484755
Epoch: 4 	Training Loss: 3.905393 	Validation Loss: 2.782445
Epoch: 5 	Training Loss: 3.638767 	Validation Loss: 5.168861
Epoch: 6 	Training Loss: 2.070252 	Validation Loss: 2.927467
Epoch: 7 	Training Loss: 1.697047 	Validation Loss: 4.086367
Epoch: 8 	Training Loss: 1.520607 	Validation Loss: 4.761895
Epoch: 9 	Training Loss: 1.396526 	Validation Loss: 5.718731
Epoch: 0 	Training Loss: 13.125746 	Validation Loss: 6.527940
Epoch: 1 	Training Loss: 10.543174 	Validation Loss: 4.300804
Epoch: 2 	Training Loss: 8.043118 	Validation Loss: 5.736939
Epoch: 3 	Training Loss: 6.639898 	Validation Loss: 3.748010
Epoch: 4 	Training Loss: 5.936270 	Validation Loss: 4.684604
Epoch: 5 	Training Loss: 5.222327 	Validation Loss: 4.678159
Epoch: 6 	Training Loss: 3.377709 	Validation Loss: 3.431726
Epoch: 7 	Training Loss: 2.984138 	Validation Loss: 3.812285
Epoch: 8 	Training Loss: 2.710492 	Validation Loss: 5.408809
Epoch: 9 	Training Loss: 2.517469 	Validation Loss: 4.530982
Epoch: 0 	Training Loss: 7.364448 	Validation Loss: 5.518259
